,0,1,2
0,ILSVRC2012_val_00010562.JPEG,cicada,316
1,ILSVRC2012_val_00041431.JPEG,cicada,316
2,ILSVRC2012_val_00042251.JPEG,cicada,316
3,ILSVRC2012_val_00017593.JPEG,cicada,316
4,ILSVRC2012_val_00045569.JPEG,cicada,316
5,ILSVRC2012_val_00046770.JPEG,Egyptian cat,285
6,ILSVRC2012_val_00021675.JPEG,Egyptian cat,285
7,ILSVRC2012_val_00010598.JPEG,Egyptian cat,285
8,ILSVRC2012_val_00030164.JPEG,triumphal arch,873
9,ILSVRC2012_val_00045748.JPEG,triumphal arch,873
10,ILSVRC2012_val_00046605.JPEG,triumphal arch,873
11,ILSVRC2012_val_00035081.JPEG,triumphal arch,873
12,ILSVRC2012_val_00047453.JPEG,computer keyboard,508
13,ILSVRC2012_val_00035446.JPEG,computer keyboard,508
14,ILSVRC2012_val_00007754.JPEG,computer keyboard,508
15,ILSVRC2012_val_00041349.JPEG,computer keyboard,508
16,ILSVRC2012_val_00045039.JPEG,computer keyboard,508
17,ILSVRC2012_val_00004198.JPEG,pineapple,953
18,ILSVRC2012_val_00047038.JPEG,pineapple,953
19,ILSVRC2012_val_00030543.JPEG,pineapple,953
20,ILSVRC2012_val_00040389.JPEG,pineapple,953
21,ILSVRC2012_val_00020861.JPEG,rock python,62
22,ILSVRC2012_val_00000688.JPEG,rock python,62
23,ILSVRC2012_val_00032663.JPEG,rock python,62
24,ILSVRC2012_val_00028743.JPEG,rock python,62
25,ILSVRC2012_val_00001946.JPEG,hand-held computer,590
26,ILSVRC2012_val_00019032.JPEG,hand-held computer,590
27,ILSVRC2012_val_00017688.JPEG,hand-held computer,590
28,ILSVRC2012_val_00003257.JPEG,hermit crab,125
29,ILSVRC2012_val_00014751.JPEG,hermit crab,125
30,ILSVRC2012_val_00020535.JPEG,basset,161
31,ILSVRC2012_val_00024881.JPEG,basset,161
32,ILSVRC2012_val_00020460.JPEG,basset,161
33,ILSVRC2012_val_00040156.JPEG,ladybug,301
34,ILSVRC2012_val_00025218.JPEG,ladybug,301
35,ILSVRC2012_val_00035497.JPEG,ladybug,301
36,ILSVRC2012_val_00043854.JPEG,ladybug,301
37,ILSVRC2012_val_00030697.JPEG,ladybug,301
38,ILSVRC2012_val_00003169.JPEG,great grey owl,24
39,ILSVRC2012_val_00015913.JPEG,great grey owl,24
40,ILSVRC2012_val_00018062.JPEG,great grey owl,24
41,ILSVRC2012_val_00001213.JPEG,great grey owl,24
42,ILSVRC2012_val_00037324.JPEG,Gila monster,45
43,ILSVRC2012_val_00031550.JPEG,Gila monster,45
44,ILSVRC2012_val_00025104.JPEG,Gila monster,45
45,ILSVRC2012_val_00014537.JPEG,frying pan,567
46,ILSVRC2012_val_00044810.JPEG,frying pan,567
47,ILSVRC2012_val_00033436.JPEG,frying pan,567
48,ILSVRC2012_val_00047233.JPEG,frying pan,567
49,ILSVRC2012_val_00022755.JPEG,isopod,126
50,ILSVRC2012_val_00038119.JPEG,isopod,126
51,ILSVRC2012_val_00041213.JPEG,isopod,126
52,ILSVRC2012_val_00042324.JPEG,submarine,833
53,ILSVRC2012_val_00020293.JPEG,submarine,833
54,ILSVRC2012_val_00010351.JPEG,submarine,833
55,ILSVRC2012_val_00031365.JPEG,submarine,833
56,ILSVRC2012_val_00003965.JPEG,tobacco shop,860
57,ILSVRC2012_val_00035960.JPEG,tobacco shop,860
58,ILSVRC2012_val_00014272.JPEG,tobacco shop,860
